raw_symbol,instrument_id,date
NVDA,11667,2024-10-24
NVDA,11667,2024-10-25
NVDA,11667,2024-10-26
NVDA,11667,2024-10-27
NVDA,11667,2024-10-28
NVDA,11667,2024-10-29
NVDA,11667,2024-10-30
NVDA,11667,2024-10-31
NVDA,11667,2024-11-01
NVDA,11667,2024-11-02
NVDA,11667,2024-11-03
NVDA,11667,2024-11-04
NVDA,11667,2024-11-05
NVDA,11667,2024-11-06
NVDA,11667,2024-11-07
NVDA,11667,2024-11-08
NVDA,11667,2024-11-09
NVDA,11667,2024-11-10
NVDA,11667,2024-11-11
NVDA,11667,2024-11-12
NVDA,11667,2024-11-13
NVDA,11667,2024-11-14
NVDA,11667,2024-11-15
NVDA,11667,2024-11-16
NVDA,11667,2024-11-17
NVDA,11667,2024-11-18
NVDA,11667,2024-11-19
NVDA,11667,2024-11-20
NVDA,11667,2024-11-21
NVDA,11667,2024-11-22
NVDA,11667,2024-11-23
NVDA,11667,2024-11-24
NVDA,11667,2024-11-25
NVDA,11667,2024-11-26
NVDA,11667,2024-11-27
NVDA,11667,2024-11-28
NVDA,11667,2024-11-29
NVDA,11667,2024-11-30
NVDA,11667,2024-12-01
NVDA,11667,2024-12-02
NVDA,11667,2024-12-03
NVDA,11667,2024-12-04
NVDA,11667,2024-12-05
NVDA,11667,2024-12-06
NVDA,11667,2024-12-07
NVDA,11667,2024-12-08
NVDA,11667,2024-12-09
NVDA,11667,2024-12-10
NVDA,11667,2024-12-11
NVDA,11667,2024-12-12
NVDA,11667,2024-12-13
NVDA,11667,2024-12-14
NVDA,11667,2024-12-15
NVDA,11667,2024-12-16
NVDA,11667,2024-12-17
NVDA,11667,2024-12-18
NVDA,11667,2024-12-19
NVDA,11667,2024-12-20
NVDA,11667,2024-12-21
NVDA,11667,2024-12-22
NVDA,11667,2024-12-23
